Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
ID2611,2611,13,354,1024.050847,823.9632768,0,0,0,10.61516367,1,,34816,34816,34816,34816,1.23E+07,0,1,Infinity,-0.23072953,-0.071528417,15.3952193,7.315285056,0.581787056,2.1045276,354,96,0.482692621,0.931578947,5.102342433
ID2612,2612,,168,1189.404762,727.1607143,0,0,0,7.312732791,1,,49664,49664,49664,49664,8343552,0,0.889793213,Infinity,-0.040356309,0.07328617,8.203709019,6.603026734,0.229977659,1.242416448,168,60,0.586430629,0.930747922,4.629100499
ID2613,2613,14,291,839.1202749,242.0068729,0,0,0,9.624353323,1,,11777,11777,11777,11777,3427107,0,1,Infinity,0.064841559,0.036688667,15.72599482,5.724651149,2.307519974,2.74706605,291,96,0.396789697,0.876506024,5.627619665
ID2614,2614,15,223,536.0717489,277.8026906,0,0,0,8.425147157,1,,515,515,515,515,114845,0,0.704745341,Infinity,-0.073577268,-0.069880022,11.57280477,6.142123487,0.436130422,1.884169994,223,72,0.540567254,0.923395445,4.821476617
ID2615,2615,16,385,495.025974,83.98701299,0,0,0,11.07019901,1,,36356,36356,36356,36356,1.40E+07,0,0.997281129,Infinity,0.06193568,0.039085637,18.39304154,6.621933988,0.711247609,2.777593611,385,114,0.372272444,0.897435897,5.809977982
ID2617,2617,18,221,705.3257919,927.6696833,0,0,0,8.387281136,1,,6154,6154,6154,6154,1360034,0,1,Infinity,0.071072302,-0.02065587,9.947571502,7.312410508,-0.266777011,1.360368307,221,68,0.600598596,0.928571429,4.574174999
ID2618,2618,19,199,340.3366834,933.9095477,0,0,0,7.958873498,1,,37898,37898,37898,37898,7541702,0,1,Infinity,-0.094629192,-0.03752445,9.461741024,6.874351461,-0.034502578,1.376383078,199,66,0.574083506,0.927738928,4.678615953
ID2619,2619,20,146,299.6780822,826.4657534,0,0,0,6.817128676,1,,39947,39947,39947,39947,5832262,0,0.813240851,Infinity,0.290857837,-0.0868621,8.164704801,6.209284035,-0.408149998,1.314918879,146,52,0.678509656,0.960526316,4.303550621
ID2620,2620,21,248,1011.657258,76.91129032,0,0,0,8.884866447,1,,18444,18444,18444,18444,4574112,0,1,Infinity,0.107570141,-0.108571525,12.42343567,6.382104089,2.5879231,1.946604991,248,80,0.486946861,0.915129151,5.08000508
ID2621,2621,22,166,964.8493976,702.1506024,0,0,0,7.269074295,1,,13841,13841,13841,13841,2297606,0,1,Infinity,-0.056189827,0.045595735,8.666419089,6.113887414,2.398907643,1.417497331,166,60,0.579449312,0.93258427,4.656903154
