Specie,CellDensity,N,Condition,Day,IF_population_Cumulative,awake_well_ratio
PY1,10^0,1,CFS_Cat,0,0,0
PY1,10^0,1,CFS_Cat,6.875,0,0
PY1,10^0,1,CFS_Cat,15.60416667,0,0
PY1,10^0,1,CFS_Cat,25.875,0,0
PY1,10^0,1,CFS_Cat,33.77083333,0,0
PY1,10^0,1,CFS_Cat,48.70833333,0,0
PY1,10^0,2,CFS_Cat,0,0,0
PY1,10^0,2,CFS_Cat,6.875,0,0
PY1,10^0,2,CFS_Cat,15.60416667,0,0
PY1,10^0,2,CFS_Cat,25.875,0,0
PY1,10^0,2,CFS_Cat,33.77083333,0,0
PY1,10^0,2,CFS_Cat,48.70833333,0,0
PY1,10^0,3,CFS_Cat,0,0,0
PY1,10^0,3,CFS_Cat,6.875,0,0
PY1,10^0,3,CFS_Cat,15.60416667,0,0
PY1,10^0,3,CFS_Cat,25.875,0,0
PY1,10^0,3,CFS_Cat,33.77083333,0,0
PY1,10^0,3,CFS_Cat,48.70833333,0,0
PY1,10^1,1,CFS_Cat,0,0,0
PY1,10^1,1,CFS_Cat,6.875,0,0
PY1,10^1,1,CFS_Cat,25.875,0,0
PY1,10^1,1,CFS_Cat,28.75,7,0.5833333333333334
PY1,10^1,1,CFS_Cat,33.77083333,12,1
PY1,10^1,1,CFS_Cat,37.64583333,12,1
PY1,10^1,1,CFS_Cat,40.52083333,12,1
PY1,10^1,1,CFS_Cat,44.70833333,12,1
PY1,10^1,1,CFS_Cat,48.70833333,12,1
PY1,10^1,1,CFS_Cat,56.625,12,1
PY1,10^1,1,noCFS_Cat,65.95833333,0,0
PY1,10^1,1,noCFS_Cat,87.91666667,0,0
PY1,10^1,1,noCFS_Cat,109.7916667,0,0
PY1,10^1,1,noCFS_Cat,130.6875,1,0.08333333333333333
PY1,10^1,1,noCFS_Cat,135.8333333,1,0.08333333333333333
PY1,10^1,1,noCFS_Cat,145.7083333,1,0.08333333333333333
PY1,10^1,1,noCFS_Cat,166.7916667,1,0.08333333333333333
PY1,10^1,1,noCFS_Cat,207.8125,2,0.16666666666666666
PY1,10^1,1,noCFS_Cat,229.8541667,2,0.16666666666666666
PY1,10^1,1,noCFS_Cat,269.0208333,2,0.16666666666666666
PY1,10^1,1,noCFS_Cat_ctrl,0,0,0
PY1,10^1,1,noCFS_Cat_ctrl,6.875,0,0
PY1,10^1,1,noCFS_Cat_ctrl,37.64583333,0,0
PY1,10^1,1,noCFS_Cat_ctrl,48.70833333,0,0
PY1,10^1,2,CFS_Cat,0,0,0
PY1,10^1,2,CFS_Cat,6.875,0,0
PY1,10^1,2,CFS_Cat,25.875,0,0
PY1,10^1,2,CFS_Cat,28.75,1,0.08333333333333333
PY1,10^1,2,CFS_Cat,33.77083333,9,0.75
PY1,10^1,2,CFS_Cat,37.64583333,9,0.75
PY1,10^1,2,CFS_Cat,40.52083333,9,0.75
PY1,10^1,2,CFS_Cat,44.70833333,9,0.75
PY1,10^1,2,CFS_Cat,48.70833333,9,0.75
PY1,10^1,2,CFS_Cat,56.625,9,0.75
PY1,10^1,2,noCFS_Cat,65.95833333,0,0
PY1,10^1,2,noCFS_Cat,87.91666667,0,0
PY1,10^1,2,noCFS_Cat,109.7916667,0,0
PY1,10^1,2,noCFS_Cat,130.6875,0,0
PY1,10^1,2,noCFS_Cat,135.8333333,0,0
PY1,10^1,2,noCFS_Cat,145.7083333,0,0
PY1,10^1,2,noCFS_Cat,166.7916667,0,0
PY1,10^1,2,noCFS_Cat,207.8125,3,0.25
PY1,10^1,2,noCFS_Cat,229.8541667,4,0.3333333333333333
PY1,10^1,2,noCFS_Cat,269.0208333,4,0.3333333333333333
PY1,10^1,2,noCFS_Cat_ctrl,0,0,0
PY1,10^1,2,noCFS_Cat_ctrl,6.875,0,0
PY1,10^1,2,noCFS_Cat_ctrl,37.64583333,0,0
PY1,10^1,2,noCFS_Cat_ctrl,48.70833333,0,0
PY1,10^1,3,CFS_Cat,0,0,0
PY1,10^1,3,CFS_Cat,6.875,0,0
PY1,10^1,3,CFS_Cat,25.875,0,0
PY1,10^1,3,CFS_Cat,28.75,8,0.6666666666666666
PY1,10^1,3,CFS_Cat,33.77083333,11,0.9166666666666666
PY1,10^1,3,CFS_Cat,37.64583333,11,0.9166666666666666
PY1,10^1,3,CFS_Cat,40.52083333,11,0.9166666666666666
PY1,10^1,3,CFS_Cat,44.70833333,11,0.9166666666666666
PY1,10^1,3,CFS_Cat,48.70833333,11,0.9166666666666666
PY1,10^1,3,CFS_Cat,56.625,11,0.9166666666666666
PY1,10^1,3,noCFS_Cat,65.95833333,0,0
PY1,10^1,3,noCFS_Cat,87.91666667,1,0.08333333333333333
PY1,10^1,3,noCFS_Cat,109.7916667,1,0.08333333333333333
PY1,10^1,3,noCFS_Cat,130.6875,1,0.08333333333333333
PY1,10^1,3,noCFS_Cat,135.8333333,2,0.16666666666666666
PY1,10^1,3,noCFS_Cat,145.7083333,2,0.16666666666666666
PY1,10^1,3,noCFS_Cat,166.7916667,3,0.25
PY1,10^1,3,noCFS_Cat,207.8125,7,0.5833333333333334
PY1,10^1,3,noCFS_Cat,229.8541667,8,0.6666666666666666
PY1,10^1,3,noCFS_Cat,269.0208333,8,0.6666666666666666
PY1,10^1,3,noCFS_Cat_ctrl,0,0,0
PY1,10^1,3,noCFS_Cat_ctrl,6.875,0,0
