Specie,CellDensity,Day,N,Condition,ID,Nitrite
PY1,10^0,0,1,CFS_Cat,1,0.070957882
PY1,10^0,0,1,CFS_Cat,2,0.070957882
PY1,10^0,0,1,CFS_Cat,3,0.070957882
PY1,10^0,0,1,CFS_Cat,4,0.070957882
PY1,10^0,0,1,CFS_Cat,5,0.070957882
PY1,10^0,0,1,CFS_Cat,6,0.070957882
PY1,10^0,0,1,CFS_Cat,7,0.070957882
PY1,10^0,0,1,CFS_Cat,8,0.070957882
PY1,10^0,0,1,CFS_Cat,9,0.070957882
PY1,10^0,0,1,CFS_Cat,10,0.070957882
PY1,10^0,0,1,CFS_Cat,11,0.070957882
PY1,10^0,0,1,CFS_Cat,12,0.070957882
PY1,10^1,0,1,CFS_Cat,1,0.070957882
PY1,10^1,0,1,CFS_Cat,2,0.070957882
PY1,10^1,0,1,CFS_Cat,3,0.070957882
PY1,10^1,0,1,CFS_Cat,4,0.070957882
PY1,10^1,0,1,CFS_Cat,5,0.070957882
PY1,10^1,0,1,CFS_Cat,6,0.070957882
PY1,10^1,0,1,CFS_Cat,7,0.070957882
PY1,10^1,0,1,CFS_Cat,8,0.070957882
PY1,10^1,0,1,CFS_Cat,9,0.070957882
PY1,10^1,0,1,CFS_Cat,10,0.070957882
PY1,10^1,0,1,CFS_Cat,11,0.070957882
PY1,10^1,0,1,CFS_Cat,12,0.070957882
PY1,10^1,0,1,noCFS_Cat_ctrl,1,0
PY1,10^1,0,1,noCFS_Cat_ctrl,2,0
PY1,10^1,0,1,noCFS_Cat_ctrl,3,0
PY1,10^1,0,1,noCFS_Cat_ctrl,4,0
PY1,10^1,0,1,noCFS_Cat_ctrl,5,0
PY1,10^1,0,1,noCFS_Cat_ctrl,6,0
PY1,10^1,0,1,noCFS_Cat_ctrl,7,0
PY1,10^1,0,1,noCFS_Cat_ctrl,8,0
PY1,10^1,0,1,noCFS_Cat_ctrl,9,0
PY1,10^1,0,1,noCFS_Cat_ctrl,10,0
PY1,10^1,0,1,noCFS_Cat_ctrl,11,0
PY1,10^1,0,1,noCFS_Cat_ctrl,12,0
PY1,10^3,0,1,CFS_Cat,1,0.070957882
PY1,10^3,0,1,CFS_Cat,2,0.070957882
PY1,10^3,0,1,CFS_Cat,3,0.070957882
PY1,10^3,0,1,CFS_Cat,4,0.070957882
PY1,10^3,0,1,CFS_Cat,5,0.070957882
PY1,10^3,0,1,CFS_Cat,6,0.070957882
PY1,10^3,0,1,CFS_Cat,7,0.070957882
PY1,10^3,0,1,CFS_Cat,8,0.070957882
PY1,10^3,0,1,CFS_Cat,9,0.070957882
PY1,10^3,0,1,CFS_Cat,10,0.070957882
