Specie,CellDensity,Day,N,Condition,ID,Nitrite
PY1,10^5,1.875,1,Cat-,1,0
PY1,10^5,1.875,1,Cat-,2,0
PY1,10^5,1.875,1,Cat-,3,0
PY1,10^5,1.875,1,Cat-,4,0
PY1,10^5,1.875,1,Cat-,5,0
PY1,10^5,1.875,1,Cat-,6,0
PY1,10^5,1.875,1,Cat-,7,0
PY1,10^5,1.875,1,Cat-,8,0
PY1,10^5,1.875,1,Cat-,9,0
PY1,10^5,1.875,1,Cat-,10,0
PY1,10^5,1.875,1,Cat-,11,0
PY1,10^5,1.875,1,Cat-,12,0
PY1,10^5,1.875,1,Cat+,1,0
PY1,10^5,1.875,1,Cat+,2,0
PY1,10^5,1.875,1,Cat+,3,0
PY1,10^5,1.875,1,Cat+,4,0.007622854
PY1,10^5,1.875,1,Cat+,5,0.018064778
PY1,10^5,1.875,1,Cat+,6,0
PY1,10^5,1.875,1,Cat+,7,0
PY1,10^5,1.875,1,Cat+,8,0
PY1,10^5,1.875,1,Cat+,9,0
PY1,10^5,1.875,1,Cat+,10,0
PY1,10^5,1.875,1,Cat+,11,0
PY1,10^5,1.875,1,Cat+,12,0
PY1,10^5,1.875,2,Cat-,1,0
PY1,10^5,1.875,2,Cat-,2,0
PY1,10^5,1.875,2,Cat-,3,0
PY1,10^5,1.875,2,Cat-,4,0
PY1,10^5,1.875,2,Cat-,5,0
PY1,10^5,1.875,2,Cat-,6,0
PY1,10^5,1.875,2,Cat-,7,0
PY1,10^5,1.875,2,Cat-,8,0
PY1,10^5,1.875,2,Cat-,9,0
PY1,10^5,1.875,2,Cat-,10,0
PY1,10^5,1.875,2,Cat-,11,0
PY1,10^5,1.875,2,Cat-,12,0
PY1,10^5,1.875,2,Cat+,1,0
PY1,10^5,1.875,2,Cat+,2,0
PY1,10^5,1.875,2,Cat+,3,0.005249689
PY1,10^5,1.875,2,Cat+,4,0
PY1,10^5,1.875,2,Cat+,5,0
PY1,10^5,1.875,2,Cat+,6,0
PY1,10^5,1.875,2,Cat+,7,0
PY1,10^5,1.875,2,Cat+,8,0
PY1,10^5,1.875,2,Cat+,9,0
PY1,10^5,1.875,2,Cat+,10,0
PY1,10^5,1.875,2,Cat+,11,0
PY1,10^5,1.875,2,Cat+,12,0
PY1,10^5,1.875,3,Cat-,1,0
PY1,10^5,1.875,3,Cat-,2,0
PY1,10^5,1.875,3,Cat-,3,0
PY1,10^5,1.875,3,Cat-,4,0
PY1,10^5,1.875,3,Cat-,5,0
PY1,10^5,1.875,3,Cat-,6,0
PY1,10^5,1.875,3,Cat-,7,0
PY1,10^5,1.875,3,Cat-,8,0
PY1,10^5,1.875,3,Cat-,9,0
PY1,10^5,1.875,3,Cat-,10,0
PY1,10^5,1.875,3,Cat-,11,0
PY1,10^5,1.875,3,Cat-,12,0
PY1,10^5,1.875,3,Cat+,1,0
PY1,10^5,1.875,3,Cat+,2,0
PY1,10^5,1.875,3,Cat+,3,0
PY1,10^5,1.875,3,Cat+,4,0.008772437
PY1,10^5,1.875,3,Cat+,5,0.018965844
PY1,10^5,1.875,3,Cat+,6,0
PY1,10^5,1.875,3,Cat+,7,0
PY1,10^5,1.875,3,Cat+,8,0
PY1,10^5,1.875,3,Cat+,9,0
PY1,10^5,1.875,3,Cat+,10,0
PY1,10^5,1.875,3,Cat+,11,0
PY1,10^5,1.875,3,Cat+,12,0
PY1,10^5,8.875,1,Cat-,1,0.019785815
PY1,10^5,8.875,1,Cat-,2,0.02475613
PY1,10^5,8.875,1,Cat-,3,0.018882122
PY1,10^5,8.875,1,Cat-,4,0.021593202
PY1,10^5,8.875,1,Cat-,5,0.023400589
PY1,10^5,8.875,1,Cat-,6,0.022045049
PY1,10^5,8.875,1,Cat-,7,0.019333968
PY1,10^5,8.875,1,Cat-,8,0.019333968
PY1,10^5,8.875,1,Cat-,9,0.021141356
PY1,10^5,8.875,1,Cat-,10,0.017978428
PY1,10^5,8.875,1,Cat-,11,0.031985678
PY1,10^5,8.875,1,Cat-,12,0.027919057
PY1,10^5,8.875,1,Cat+,1,0.186065433
PY1,10^5,8.875,1,Cat+,2,0.18516174
PY1,10^5,8.875,1,Cat+,3,0.174769264
PY1,10^5,8.875,1,Cat+,4,0.188776514
PY1,10^5,8.875,1,Cat+,5,0.183354353
PY1,10^5,8.875,1,Cat+,6,0.166636021
PY1,10^5,8.875,1,Cat+,7,0.188776514
PY1,10^5,8.875,1,Cat+,8,0.175672957
PY1,10^5,8.875,1,Cat+,9,0.155791698
PY1,10^5,8.875,1,Cat+,10,0.176124804
PY1,10^5,8.875,1,Cat+,11,0.172058183
PY1,10^5,8.875,1,Cat+,12,0.176576651
PY1,10^5,8.875,2,Cat-,1,0.030630138
PY1,10^5,8.875,2,Cat-,2,0.027919057
PY1,10^5,8.875,2,Cat-,3,0.029726444
PY1,10^5,8.875,2,Cat-,4,0.023400589
PY1,10^5,8.875,2,Cat-,5,0.027015364
PY1,10^5,8.875,2,Cat-,6,0.030178291
PY1,10^5,8.875,2,Cat-,7,0.025207977
PY1,10^5,8.875,2,Cat-,8,0.0360523
PY1,10^5,8.875,2,Cat-,9,0.027467211
PY1,10^5,8.875,2,Cat-,10,0.027015364
PY1,10^5,8.875,2,Cat-,11,0.027467211
PY1,10^5,8.875,2,Cat-,12,0.027919057
PY1,10^5,8.875,2,Cat+,1,0.211368853
PY1,10^5,8.875,2,Cat+,2,0.205946692
PY1,10^5,8.875,2,Cat+,3,0.198717143
PY1,10^5,8.875,2,Cat+,4,0.224020563
PY1,10^5,8.875,2,Cat+,5,0.223568717
PY1,10^5,8.875,2,Cat+,6,0.220857636
PY1,10^5,8.875,2,Cat+,7,0.229894572
PY1,10^5,8.875,2,Cat+,8,0.219953942
PY1,10^5,8.875,2,Cat+,9,0.205042998
PY1,10^5,8.875,2,Cat+,10,0.233057499
PY1,10^5,8.875,2,Cat+,11,0.220405789
PY1,10^5,8.875,2,Cat+,12,0.214079934
PY1,10^5,8.875,3,Cat-,1,0.011382325
PY1,10^5,8.875,3,Cat-,2,0.014219231
PY1,10^5,8.875,3,Cat-,3,0.012800778
PY1,10^5,8.875,3,Cat-,4,0.01043669
PY1,10^5,8.875,3,Cat-,5,0.014692048
PY1,10^5,8.875,3,Cat-,6,0.015164866
PY1,10^5,8.875,3,Cat-,7,0.011382325
PY1,10^5,8.875,3,Cat-,8,0.014219231
PY1,10^5,8.875,3,Cat-,9,0.011382325
PY1,10^5,8.875,3,Cat-,10,0.009491055
PY1,10^5,8.875,3,Cat-,11,0.016110501
PY1,10^5,8.875,3,Cat-,12,0.011382325
PY1,10^5,8.875,3,Cat+,1,0.215166684
PY1,10^5,8.875,3,Cat+,2,0.193417077
PY1,10^5,8.875,3,Cat+,3,0.196253982
PY1,10^5,8.875,3,Cat+,4,0.218476407
PY1,10^5,8.875,3,Cat+,5,0.215166684
PY1,10^5,8.875,3,Cat+,6,0.184433544
PY1,10^5,8.875,3,Cat+,7,0.184433544
PY1,10^5,8.875,3,Cat+,8,0.173558741
PY1,10^5,8.875,3,Cat+,9,0.19483553
PY1,10^5,8.875,3,Cat+,10,0.212802596
PY1,10^5,8.875,3,Cat+,11,0.209492873
PY1,10^5,8.875,3,Cat+,12,0.197199618
PY1,10^3,8.916666667,1,Cat-,1,0
PY1,10^3,8.916666667,1,Cat-,2,0
PY1,10^3,8.916666667,1,Cat-,3,0
PY1,10^3,8.916666667,1,Cat-,4,0
PY1,10^3,8.916666667,1,Cat-,5,0
PY1,10^3,8.916666667,1,Cat-,6,0
PY1,10^3,8.916666667,1,Cat-,7,0
PY1,10^3,8.916666667,1,Cat-,8,0
PY1,10^3,8.916666667,1,Cat-,9,0
PY1,10^3,8.916666667,1,Cat-,10,0
PY1,10^3,8.916666667,1,Cat-,11,0
PY1,10^3,8.916666667,1,Cat-,12,0
PY1,10^3,8.916666667,1,Cat+,1,0
PY1,10^3,8.916666667,1,Cat+,2,0
PY1,10^3,8.916666667,1,Cat+,3,0
PY1,10^3,8.916666667,1,Cat+,4,0
PY1,10^3,8.916666667,1,Cat+,5,0
PY1,10^3,8.916666667,1,Cat+,6,0
PY1,10^3,8.916666667,1,Cat+,7,0
PY1,10^3,8.916666667,1,Cat+,8,0
PY1,10^3,8.916666667,1,Cat+,9,0
PY1,10^3,8.916666667,1,Cat+,10,0
PY1,10^3,8.916666667,1,Cat+,11,0
PY1,10^3,8.916666667,1,Cat+,12,0
PY1,10^3,8.916666667,2,Cat-,1,0
PY1,10^3,8.916666667,2,Cat-,2,0
PY1,10^3,8.916666667,2,Cat-,3,0
PY1,10^3,8.916666667,2,Cat-,4,0
PY1,10^3,8.916666667,2,Cat-,5,0
PY1,10^3,8.916666667,2,Cat-,6,0
PY1,10^3,8.916666667,2,Cat-,7,0
PY1,10^3,8.916666667,2,Cat-,8,0
PY1,10^3,8.916666667,2,Cat-,9,0
PY1,10^3,8.916666667,2,Cat-,10,0
PY1,10^3,8.916666667,2,Cat-,11,0
PY1,10^3,8.916666667,2,Cat-,12,0
PY1,10^3,8.916666667,2,Cat+,1,0
PY1,10^3,8.916666667,2,Cat+,2,0
PY1,10^3,8.916666667,2,Cat+,3,0
PY1,10^3,8.916666667,2,Cat+,4,0
PY1,10^3,8.916666667,2,Cat+,5,0
PY1,10^3,8.916666667,2,Cat+,6,0
PY1,10^3,8.916666667,2,Cat+,7,0
PY1,10^3,8.916666667,2,Cat+,8,0
PY1,10^3,8.916666667,2,Cat+,9,0
PY1,10^3,8.916666667,2,Cat+,10,0
PY1,10^3,8.916666667,2,Cat+,11,0
PY1,10^3,8.916666667,2,Cat+,12,0
PY1,10^3,8.916666667,3,Cat-,1,0
PY1,10^3,8.916666667,3,Cat-,2,0
PY1,10^3,8.916666667,3,Cat-,3,0
PY1,10^3,8.916666667,3,Cat-,4,0
PY1,10^3,8.916666667,3,Cat-,5,0
PY1,10^3,8.916666667,3,Cat-,6,0
PY1,10^3,8.916666667,3,Cat-,7,0
PY1,10^3,8.916666667,3,Cat-,8,0
PY1,10^3,8.916666667,3,Cat-,9,0
PY1,10^3,8.916666667,3,Cat-,10,0
PY1,10^3,8.916666667,3,Cat-,11,0
PY1,10^3,8.916666667,3,Cat-,12,0
PY1,10^3,8.916666667,3,Cat+,1,0
PY1,10^3,8.916666667,3,Cat+,2,0
PY1,10^3,8.916666667,3,Cat+,3,0
PY1,10^3,8.916666667,3,Cat+,4,0
PY1,10^3,8.916666667,3,Cat+,5,0
PY1,10^3,8.916666667,3,Cat+,6,0
PY1,10^3,8.916666667,3,Cat+,7,0
PY1,10^3,8.916666667,3,Cat+,8,0
PY1,10^3,8.916666667,3,Cat+,9,0
PY1,10^3,8.916666667,3,Cat+,10,0
PY1,10^3,8.916666667,3,Cat+,11,0
PY1,10^3,8.916666667,3,Cat+,12,0
PY1,10^5,12.625,1,Cat-,1,0.015028007
PY1,10^5,12.625,1,Cat-,2,0.021153852
PY1,10^5,12.625,1,Cat-,3,0.021153852
PY1,10^5,12.625,1,Cat-,4,0.020132878
PY1,10^5,12.625,1,Cat-,5,0.018601417
PY1,10^5,12.625,1,Cat-,6,0.023195801
PY1,10^5,12.625,1,Cat-,7,0.023706288
PY1,10^5,12.625,1,Cat-,8,0.021664339
PY1,10^5,12.625,1,Cat-,9,0.027790185
PY1,10^5,12.625,1,Cat-,10,0.019622391
